0.085850	HH
0.504310	HH
0.942220	HH
1.370000	HH
1.781400	HH
2.215000	HH
2.648900	HH
3.091900	HH
3.516000	HH
3.938500	HH
4.381200	HH
4.595000	HH
4.798100	HH
5.223000	HH
5.631900	HH
6.064300	HH
6.495700	HH
6.933300	HH
7.362600	HH
7.811300	HH
8.234800	HH
8.643200	HH
9.068700	HH
9.499800	HH
9.928500	HH
10.363600	HH
10.787000	HH
11.218300	HH
11.656800	HH
12.077200	HH
12.500100	HH
12.940200	HH
13.382900	HH
13.799400	HH
14.217500	HH
14.633300	HH
15.080000	HH
15.509300	HH
15.945000	HH
16.366300	HH
16.789600	HH
17.225400	HH
0.091791	KD
0.974880	KD
1.836200	KD
2.668100	KD
3.528700	KD
4.370100	KD
5.238300	KD
6.093400	KD
6.312900	KD
6.961600	KD
7.829100	KD
8.686800	KD
9.517600	KD
9.727300	KD
10.371700	KD
11.246100	KD
12.094000	KD
12.723100	KD
12.942900	KD
13.791600	KD
15.514900	KD
15.929600	KD
17.224900	KD
0.526080	SD
1.389600	SD
2.256700	SD
2.462500	SD
3.095700	SD
4.001000	SD
4.836100	SD
5.663000	SD
6.521300	SD
7.846300	SD
9.551800	SD
9.966300	SD
10.180000	SD
11.231100	SD
12.968700	SD
13.403200	SD
13.619800	SD
14.682700	SD
16.370400	SD
16.791600	SD
17.015000	SD
